pollster,poll_id,state,methodology,sample_size,candidate_name,pct
Ipsos,17871,Alabama,IVR,18800,Donald Trump,0.5165623832146319
Ipsos,17871,Alabama,Online Panel,18800,Kamala Harris,0.4279463291153608
Ipsos,17871,Alabama,Text,18800,Jill Stein,0.028153087280626918
Ipsos,17871,Alabama,Phone,18800,Robert F. Kennedy,0.027338200389380354
Emerson,96236,Alaska,Text,7169,Donald Trump,0.5298856944130632
Emerson,96236,Alaska,Online Panel,7169,Kamala Harris,0.45106546582595275
Emerson,96236,Alaska,Email,7169,Jill Stein,0.0033968909854150096
Emerson,96236,Alaska,IVR,7169,Robert F. Kennedy,0.015651948775569094
Ipsos,36468,Arizona,Phone,10856,Donald Trump,0.4482410272736907
Ipsos,36468,Arizona,IVR,10856,Kamala Harris,0.5072663186446729
Ipsos,36468,Arizona,Email,10856,Jill Stein,0.022409666113389633
Ipsos,36468,Arizona,Email,10856,Robert F. Kennedy,0.022082987968246676
SurveyUSA,25900,Arkansas,Text,10613,Donald Trump,0.5828776201587813
SurveyUSA,25900,Arkansas,Phone,10613,Kamala Harris,0.36797717839687183
SurveyUSA,25900,Arkansas,IVR,10613,Jill Stein,0.026086583826079895
SurveyUSA,25900,Arkansas,Text,10613,Robert F. Kennedy,0.02305861761826695
Marist,87907,California,IVR,11098,Donald Trump,0.3842581356634924
Marist,87907,California,Online Panel,11098,Kamala Harris,0.5621555311685857
Marist,87907,California,IVR,11098,Jill Stein,0.04080519725268432
Marist,87907,California,IVR,11098,Robert F. Kennedy,0.012781135915237657
YouGov,57362,Colorado,Phone,7005,Donald Trump,0.46264211669965405
YouGov,57362,Colorado,IVR,7005,Kamala Harris,0.489897726485509
YouGov,57362,Colorado,IVR,7005,Jill Stein,0.03716482933674146
YouGov,57362,Colorado,Online Panel,7005,Robert F. Kennedy,0.01029532747809543
SurveyUSA,16802,Connecticut,Text,12997,Donald Trump,0.4079315846311403
SurveyUSA,16802,Connecticut,Phone,12997,Kamala Harris,0.5468574498605162
SurveyUSA,16802,Connecticut,IVR,12997,Jill Stein,0.01923572213143662
SurveyUSA,16802,Connecticut,Email,12997,Robert F. Kennedy,0.02597524337690682
YouGov,12338,Delaware,Text,19087,Donald Trump,0.4497659585477195
YouGov,12338,Delaware,Online Panel,19087,Kamala Harris,0.49708598179044017
YouGov,12338,Delaware,Online Panel,19087,Jill Stein,0.03348057246395016
YouGov,12338,Delaware,IVR,19087,Robert F. Kennedy,0.01966748719789011
Marist,37458,Florida,IVR,11069,Donald Trump,0.5634395106476798
Marist,37458,Florida,Email,11069,Kamala Harris,0.3789041514882515
Marist,37458,Florida,Phone,11069,Jill Stein,0.03769033453725436
Marist,37458,Florida,Phone,11069,Robert F. Kennedy,0.019966003326814315
Emerson,85108,Georgia,Text,3080,Donald Trump,0.4834309808814016
Emerson,85108,Georgia,Text,3080,Kamala Harris,0.48357605143591653
Emerson,85108,Georgia,Email,3080,Jill Stein,0.02587463159396331
Emerson,85108,Georgia,Online Panel,3080,Robert F. Kennedy,0.007118336088718537
YouGov,79379,Hawaii,Phone,16785,Donald Trump,0.4574911080762223
YouGov,79379,Hawaii,IVR,16785,Kamala Harris,0.5239103368028009
YouGov,79379,Hawaii,Email,16785,Jill Stein,0.018598555120976877
YouGov,79379,Hawaii,IVR,16785,Robert F. Kennedy,0
Emerson,48027,Idaho,Phone,3756,Donald Trump,0.5176597146140643
Emerson,48027,Idaho,Phone,3756,Kamala Harris,0.42182483169577056
Emerson,48027,Idaho,Email,3756,Jill Stein,0.028872939251014564
Emerson,48027,Idaho,Online Panel,3756,Robert F. Kennedy,0.03164251443915053
SurveyUSA,92052,Illinois,Online Panel,19264,Donald Trump,0.4459166494185039
SurveyUSA,92052,Illinois,Text,19264,Kamala Harris,0.5248867036354365
SurveyUSA,92052,Illinois,Online Panel,19264,Jill Stein,0.02041557640320625
SurveyUSA,92052,Illinois,IVR,19264,Robert F. Kennedy,0.008781070542853278
SurveyUSA,54499,Indiana,IVR,9979,Donald Trump,0.5658542661416537
SurveyUSA,54499,Indiana,Online Panel,9979,Kamala Harris,0.3924214496137436
SurveyUSA,54499,Indiana,Online Panel,9979,Jill Stein,0.01690644536522131
SurveyUSA,54499,Indiana,Text,9979,Robert F. Kennedy,0.024817838879381354
Ipsos,29565,Iowa,Online Panel,11112,Donald Trump,0.5787940865850041
Ipsos,29565,Iowa,Online Panel,11112,Kamala Harris,0.3910739281694363
Ipsos,29565,Iowa,Phone,11112,Jill Stein,0.014291018537392952
Ipsos,29565,Iowa,Online Panel,11112,Robert F. Kennedy,0.015840966708166582
YouGov,48026,Kansas,Email,17107,Donald Trump,0.528757823074696
YouGov,48026,Kansas,IVR,17107,Kamala Harris,0.4452331126966146
YouGov,48026,Kansas,Email,17107,Jill Stein,0.01874184614510537
YouGov,48026,Kansas,Phone,17107,Robert F. Kennedy,0.00726721808358409
Marist,28609,Kentucky,Email,11427,Donald Trump,0.5565005246727659
Marist,28609,Kentucky,Phone,11427,Kamala Harris,0.38802615356891157
Marist,28609,Kentucky,IVR,11427,Jill Stein,0.02435372664777672
Marist,28609,Kentucky,Text,11427,Robert F. Kennedy,0.03111959511054588
Emerson,49128,Louisiana,Phone,12005,Donald Trump,0.5349325121333778
Emerson,49128,Louisiana,Text,12005,Kamala Harris,0.4184182582758199
Emerson,49128,Louisiana,Online Panel,12005,Jill Stein,0.01839715129502864
Emerson,49128,Louisiana,Online Panel,12005,Robert F. Kennedy,0.02825207829577365
Ipsos,23695,Maine,Email,9262,Donald Trump,0.4663589388555821
Ipsos,23695,Maine,Email,9262,Kamala Harris,0.48120380400312956
Ipsos,23695,Maine,Text,9262,Jill Stein,0.02823971966604746
Ipsos,23695,Maine,Online Panel,9262,Robert F. Kennedy,0.024197537475240925
Ipsos,93821,Maryland,Email,5609,Donald Trump,0.40099826301743485
Ipsos,93821,Maryland,Online Panel,5609,Kamala Harris,0.5626690993091561
Ipsos,93821,Maryland,IVR,5609,Jill Stein,0.015775775161746892
Ipsos,93821,Maryland,Text,5609,Robert F. Kennedy,0.02055686251166206
YouGov,16447,Massachusetts,Online Panel,18940,Donald Trump,0.39748717533433664
YouGov,16447,Massachusetts,Text,18940,Kamala Harris,0.5634016220036185
YouGov,16447,Massachusetts,Email,18940,Jill Stein,0.017811410744138518
YouGov,16447,Massachusetts,Phone,18940,Robert F. Kennedy,0.021299791917906333
Emerson,23333,Michigan,Email,261,Donald Trump,0.46391326144576434
Emerson,23333,Michigan,Email,261,Kamala Harris,0.5038145950596302
Emerson,23333,Michigan,Online Panel,261,Jill Stein,0
Emerson,23333,Michigan,IVR,261,Robert F. Kennedy,0.03227214349460541
Marist,72164,Minnesota,IVR,10839,Donald Trump,0.36124753994472614
Marist,72164,Minnesota,Online Panel,10839,Kamala Harris,0.6054937058850561
Marist,72164,Minnesota,IVR,10839,Jill Stein,0.011494678522289881
Marist,72164,Minnesota,Text,10839,Robert F. Kennedy,0.021764075647927855
SurveyUSA,58232,Mississippi,IVR,19717,Donald Trump,0.5200569694800349
SurveyUSA,58232,Mississippi,Online Panel,19717,Kamala Harris,0.4219879519766626
SurveyUSA,58232,Mississippi,Phone,19717,Jill Stein,0.024190049945647003
SurveyUSA,58232,Mississippi,IVR,19717,Robert F. Kennedy,0.03376502859765552
Emerson,23636,Missouri,Email,5065,Donald Trump,0.5882040380992596
Emerson,23636,Missouri,IVR,5065,Kamala Harris,0.38103846074918035
Emerson,23636,Missouri,Online Panel,5065,Jill Stein,0.00832624648192506
Emerson,23636,Missouri,Online Panel,5065,Robert F. Kennedy,0.022431254669635036
Marist,24555,Montana,Online Panel,14327,Donald Trump,0.5407728105210132
Marist,24555,Montana,Email,14327,Kamala Harris,0.4340704168673212
Marist,24555,Montana,Email,14327,Jill Stein,0.004517450669110041
Marist,24555,Montana,Text,14327,Robert F. Kennedy,0.02063932194255557
YouGov,79979,Nebraska,IVR,17272,Donald Trump,0.5340171578645141
YouGov,79979,Nebraska,Email,17272,Kamala Harris,0.4206255797128572
YouGov,79979,Nebraska,IVR,17272,Jill Stein,0.024457160704928878
YouGov,79979,Nebraska,Email,17272,Robert F. Kennedy,0.020900101717699886
Ipsos,39216,Nevada,Online Panel,6622,Donald Trump,0.5065302356376796
Ipsos,39216,Nevada,Phone,6622,Kamala Harris,0.45072487914818427
Ipsos,39216,Nevada,Email,6622,Jill Stein,0.019053847712327127
Ipsos,39216,Nevada,IVR,6622,Robert F. Kennedy,0.023691037501808992
YouGov,16635,New Hampshire,IVR,9100,Donald Trump,0.47806597887148383
YouGov,16635,New Hampshire,Phone,9100,Kamala Harris,0.4724732913584352
YouGov,16635,New Hampshire,Phone,9100,Jill Stein,0.018475442216048996
YouGov,16635,New Hampshire,Online Panel,9100,Robert F. Kennedy,0.03098528755403191
YouGov,92170,New Jersey,IVR,2716,Donald Trump,0.42275912148294303
YouGov,92170,New Jersey,Phone,2716,Kamala Harris,0.5384324052048707
YouGov,92170,New Jersey,Phone,2716,Jill Stein,0.02746633365462459
YouGov,92170,New Jersey,Email,2716,Robert F. Kennedy,0.011342139657561721
Emerson,68174,New Mexico,Phone,9180,Donald Trump,0.4865402403944398
Emerson,68174,New Mexico,Online Panel,9180,Kamala Harris,0.48786625416701795
Emerson,68174,New Mexico,Text,9180,Jill Stein,0.020809670903302276
Emerson,68174,New Mexico,Phone,9180,Robert F. Kennedy,0.004783834535239877
YouGov,18674,New York,Online Panel,16488,Donald Trump,0.45005650770218025
YouGov,18674,New York,Text,16488,Kamala Harris,0.4990488286473053
YouGov,18674,New York,Phone,16488,Jill Stein,0.03498488211197839
YouGov,18674,New York,IVR,16488,Robert F. Kennedy,0.015909781538536064
SurveyUSA,46669,North Carolina,Email,18366,Donald Trump,0.4894883301441899
SurveyUSA,46669,North Carolina,Online Panel,18366,Kamala Harris,0.459348833706285
SurveyUSA,46669,North Carolina,Text,18366,Jill Stein,0.034176167440763905
SurveyUSA,46669,North Carolina,Phone,18366,Robert F. Kennedy,0.016986668708761237
