poll_id,pollster_id,pollster,question_id,sample_size,pollscore,methodology,days_taken_from_election,end_date,start_date,state,candidate_name,pct,adjusted_weight
88794,1528,AtlasIntel,213380,4180,-0.8,Online Ad,24,2024-10-17,2024-10-12,National,Kamala Harris,47.6,1.25
88794,1528,AtlasIntel,213380,4180,-0.8,Online Ad,24,2024-10-17,2024-10-12,National,Donald Trump,50.7,1.25
88794,1528,AtlasIntel,213380,4180,-0.8,Online Ad,24,2024-10-17,2024-10-12,National,Jill Stein,0.8,1.25
88794,1528,AtlasIntel,213380,4180,-0.8,Online Ad,24,2024-10-17,2024-10-12,National,Chase Oliver,0.1,1.25
88794,1528,AtlasIntel,213380,4180,-0.8,Online Ad,24,2024-10-17,2024-10-12,National,Cornel West,0.1,1.25
88794,1528,AtlasIntel,213381,4180,-0.8,Online Ad,24,2024-10-17,2024-10-12,National,Kamala Harris,48.1,1.25
88794,1528,AtlasIntel,213381,4180,-0.8,Online Ad,24,2024-10-17,2024-10-12,National,Donald Trump,50.8,1.25
88765,1102,Emerson,213123,1000,-1.1,IVR/Online Panel/Text-to-Web,22,2024-10-16,2024-10-14,National,Kamala Harris,49.5,0.9090909090909091
88765,1102,Emerson,213123,1000,-1.1,IVR/Online Panel/Text-to-Web,22,2024-10-16,2024-10-14,National,Donald Trump,49.2,0.9090909090909091
88710,568,YouGov,212851,1457,-1.1,Online Panel,24,2024-10-15,2024-10-12,National,Kamala Harris,48,0.9090909090909091
88710,568,YouGov,212851,1457,-1.1,Online Panel,24,2024-10-15,2024-10-12,National,Donald Trump,45,0.9090909090909091
88710,568,YouGov,212851,1457,-1.1,Online Panel,24,2024-10-15,2024-10-12,National,Jill Stein,1,0.9090909090909091
88710,568,YouGov,212851,1457,-1.1,Online Panel,24,2024-10-15,2024-10-12,National,Cornel West,1,0.9090909090909091
88710,568,YouGov,212852,1314,-1.1,Online Panel,24,2024-10-15,2024-10-12,National,Kamala Harris,49,0.9090909090909091
88710,568,YouGov,212852,1314,-1.1,Online Panel,24,2024-10-15,2024-10-12,National,Donald Trump,45,0.9090909090909091
88710,568,YouGov,212852,1314,-1.1,Online Panel,24,2024-10-15,2024-10-12,National,Jill Stein,1,0.9090909090909091
88710,568,YouGov,212852,1314,-1.1,Online Panel,24,2024-10-15,2024-10-12,National,Cornel West,0,0.9090909090909091
88736,1597,Beacon/Shaw,212989,1110,-1.1,Live Phone/Text-to-Web,25,2024-10-14,2024-10-11,National,Kamala Harris,48,0.9090909090909091
88736,1597,Beacon/Shaw,212989,1110,-1.1,Live Phone/Text-to-Web,25,2024-10-14,2024-10-11,National,Donald Trump,50,0.9090909090909091
88736,1597,Beacon/Shaw,212990,870,-1.1,Live Phone/Text-to-Web,25,2024-10-14,2024-10-11,National,Kamala Harris,48,0.9090909090909091
88736,1597,Beacon/Shaw,212990,870,-1.1,Live Phone/Text-to-Web,25,2024-10-14,2024-10-11,National,Donald Trump,50,0.9090909090909091
88719,149,Fairleigh Dickinson,212865,806,-0.6,Live Phone/Text-to-Web,28,2024-10-14,2024-10-08,National,Kamala Harris,50,1.6666666666666667
88719,149,Fairleigh Dickinson,212865,806,-0.6,Live Phone/Text-to-Web,28,2024-10-14,2024-10-08,National,Donald Trump,47,1.6666666666666667
88703,241,Ipsos,212604,807,-0.9,Probability Panel,25,2024-10-13,2024-10-11,National,Kamala Harris,45,1.1111111111111112
