poll_id,pollster_id,pollster,question_id,sample_size,pollscore,methodology,days_taken_from_election,end_date,start_date,state,answer,pct
88795,1528,AtlasIntel,213382,1440,-0.8,Online Ad,24,2024-10-17,2024-10-12,Arizona,Harris,48.6
88795,1528,AtlasIntel,213382,1440,-0.8,Online Ad,24,2024-10-17,2024-10-12,Arizona,Trump,49.2
88795,1528,AtlasIntel,213382,1440,-0.8,Online Ad,24,2024-10-17,2024-10-12,Arizona,Stein,0.7
88795,1528,AtlasIntel,213382,1440,-0.8,Online Ad,24,2024-10-17,2024-10-12,Arizona,Oliver,0.1
88795,1528,AtlasIntel,213383,1440,-0.8,Online Ad,24,2024-10-17,2024-10-12,Arizona,Harris,49.3
88795,1528,AtlasIntel,213383,1440,-0.8,Online Ad,24,2024-10-17,2024-10-12,Arizona,Trump,49.2
88796,1528,AtlasIntel,213384,1411,-0.8,Online Ad,24,2024-10-17,2024-10-12,Georgia,Harris,48.1
88796,1528,AtlasIntel,213384,1411,-0.8,Online Ad,24,2024-10-17,2024-10-12,Georgia,Trump,49.5
88796,1528,AtlasIntel,213384,1411,-0.8,Online Ad,24,2024-10-17,2024-10-12,Georgia,Oliver,1.3
88796,1528,AtlasIntel,213384,1411,-0.8,Online Ad,24,2024-10-17,2024-10-12,Georgia,West,0.2
88796,1528,AtlasIntel,213384,1411,-0.8,Online Ad,24,2024-10-17,2024-10-12,Georgia,Stein,0.2
88796,1528,AtlasIntel,213385,1411,-0.8,Online Ad,24,2024-10-17,2024-10-12,Georgia,Harris,48.4
88796,1528,AtlasIntel,213385,1411,-0.8,Online Ad,24,2024-10-17,2024-10-12,Georgia,Trump,50.1
88797,1528,AtlasIntel,213386,1529,-0.8,Online Ad,24,2024-10-17,2024-10-12,Michigan,Harris,46.8
88797,1528,AtlasIntel,213386,1529,-0.8,Online Ad,24,2024-10-17,2024-10-12,Michigan,Trump,49.6
88797,1528,AtlasIntel,213386,1529,-0.8,Online Ad,24,2024-10-17,2024-10-12,Michigan,Stein,1.1
88797,1528,AtlasIntel,213386,1529,-0.8,Online Ad,24,2024-10-17,2024-10-12,Michigan,Kennedy,0.7
88797,1528,AtlasIntel,213386,1529,-0.8,Online Ad,24,2024-10-17,2024-10-12,Michigan,Oliver,0.2
88797,1528,AtlasIntel,213386,1529,-0.8,Online Ad,24,2024-10-17,2024-10-12,Michigan,West,0.1
88797,1528,AtlasIntel,213387,1529,-0.8,Online Ad,24,2024-10-17,2024-10-12,Michigan,Harris,47.3
88797,1528,AtlasIntel,213387,1529,-0.8,Online Ad,24,2024-10-17,2024-10-12,Michigan,Trump,50.2
88798,1528,AtlasIntel,213388,1171,-0.8,Online Ad,24,2024-10-17,2024-10-12,Nevada,Harris,48.1
88798,1528,AtlasIntel,213388,1171,-0.8,Online Ad,24,2024-10-17,2024-10-12,Nevada,Trump,48.4
88798,1528,AtlasIntel,213388,1171,-0.8,Online Ad,24,2024-10-17,2024-10-12,Nevada,Stein,1.7
88798,1528,AtlasIntel,213388,1171,-0.8,Online Ad,24,2024-10-17,2024-10-12,Nevada,Oliver,0
88798,1528,AtlasIntel,213389,1171,-0.8,Online Ad,24,2024-10-17,2024-10-12,Nevada,Harris,48.4
88798,1528,AtlasIntel,213389,1171,-0.8,Online Ad,24,2024-10-17,2024-10-12,Nevada,Trump,48.3
88799,1528,AtlasIntel,213390,1674,-0.8,Online Ad,24,2024-10-17,2024-10-12,North Carolina,Harris,49.5
88799,1528,AtlasIntel,213390,1674,-0.8,Online Ad,24,2024-10-17,2024-10-12,North Carolina,Trump,48.8
88799,1528,AtlasIntel,213390,1674,-0.8,Online Ad,24,2024-10-17,2024-10-12,North Carolina,Stein,1.1
88799,1528,AtlasIntel,213390,1674,-0.8,Online Ad,24,2024-10-17,2024-10-12,North Carolina,Oliver,0.1
88799,1528,AtlasIntel,213390,1674,-0.8,Online Ad,24,2024-10-17,2024-10-12,North Carolina,West,0.1
88799,1528,AtlasIntel,213391,1674,-0.8,Online Ad,24,2024-10-17,2024-10-12,North Carolina,Harris,50.5
88799,1528,AtlasIntel,213391,1674,-0.8,Online Ad,24,2024-10-17,2024-10-12,North Carolina,Trump,48.8
88800,1528,AtlasIntel,213392,2048,-0.8,Online Ad,24,2024-10-17,2024-10-12,Pennsylvania,Harris,46.5
88800,1528,AtlasIntel,213392,2048,-0.8,Online Ad,24,2024-10-17,2024-10-12,Pennsylvania,Trump,49.8
88800,1528,AtlasIntel,213392,2048,-0.8,Online Ad,24,2024-10-17,2024-10-12,Pennsylvania,Stein,1.9
88800,1528,AtlasIntel,213392,2048,-0.8,Online Ad,24,2024-10-17,2024-10-12,Pennsylvania,Oliver,0.5
88800,1528,AtlasIntel,213393,2048,-0.8,Online Ad,24,2024-10-17,2024-10-12,Pennsylvania,Harris,47.4
88800,1528,AtlasIntel,213393,2048,-0.8,Online Ad,24,2024-10-17,2024-10-12,Pennsylvania,Trump,49.9
88801,1528,AtlasIntel,213394,932,-0.8,Online Ad,24,2024-10-17,2024-10-12,Wisconsin,Harris,48.9
88801,1528,AtlasIntel,213394,932,-0.8,Online Ad,24,2024-10-17,2024-10-12,Wisconsin,Trump,48.2
88801,1528,AtlasIntel,213394,932,-0.8,Online Ad,24,2024-10-17,2024-10-12,Wisconsin,Oliver,0.8
