poll_id,pollster_id,pollster,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,start_date,end_date,question_id,sample_size,population,population_full,created_at,url,race_id,cycle,office_type,seat_number,election_date,stage,nationwide_batch,ranked_choice_reallocated,hypothetical,party,answer,candidate_id,candidate_name,pct
88746,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213067,653,lv,lv,10/17/24 13:25,https://pro.morningconsult.com/trackers/2024-election-state-polls,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49
88746,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213067,653,lv,lv,10/17/24 13:25,https://pro.morningconsult.com/trackers/2024-election-state-polls,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,48
88747,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213068,1002,lv,lv,10/17/24 13:25,https://pro.morningconsult.com/trackers/2024-election-state-polls,8781,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,48
88747,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213068,1002,lv,lv,10/17/24 13:25,https://pro.morningconsult.com/trackers/2024-election-state-polls,8781,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,49
88748,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213069,490,lv,lv,10/17/24 13:25,https://pro.morningconsult.com/trackers/2024-election-state-polls,8814,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,64
88748,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213069,490,lv,lv,10/17/24 13:25,https://pro.morningconsult.com/trackers/2024-election-state-polls,8814,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,31
88749,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213070,1065,lv,lv,10/17/24 13:25,https://pro.morningconsult.com/trackers/2024-election-state-polls,8820,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49
88749,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213070,1065,lv,lv,10/17/24 13:25,https://pro.morningconsult.com/trackers/2024-election-state-polls,8820,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,47
88750,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213071,496,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8857,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49
88750,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213071,496,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8857,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,45
88751,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213072,1072,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8839,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,48
88751,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213072,1072,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8839,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,49
88752,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213073,1243,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8863,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,45
88752,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213073,1243,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8863,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,52
88753,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213074,1395,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8872,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49
88753,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213074,1395,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8872,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,48
88754,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213075,2048,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8889,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,46
88754,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213075,2048,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8889,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,50
88755,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213076,527,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8905,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,47
88755,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/15/24,213076,527,lv,lv,10/17/24 13:26,https://pro.morningconsult.com/trackers/2024-election-state-polls,8905,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,48
88684,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/11/24,10/13/24,212544,8647,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88684,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/11/24,10/13/24,212544,8647,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88683,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/10/24,10/12/24,212543,8901,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88683,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/10/24,10/12/24,212543,8901,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88682,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/9/24,10/11/24,212542,8902,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88682,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/9/24,10/11/24,212542,8902,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88681,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/8/24,10/10/24,212541,9556,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88681,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/8/24,10/10/24,212541,9556,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88680,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/7/24,10/9/24,212540,10188,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88680,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/7/24,10/9/24,212540,10188,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88679,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/8/24,212539,10812,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88679,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/6/24,10/8/24,212539,10812,lv,lv,10/15/24 08:54,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88678,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/5/24,10/7/24,212538,11739,lv,lv,10/15/24 08:53,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,51
88678,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/5/24,10/7/24,212538,11739,lv,lv,10/15/24 08:53,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,45
88553,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/4/24,10/6/24,211843,11353,lv,lv,10/8/24 09:09,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,51
88553,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/4/24,10/6/24,211843,11353,lv,lv,10/8/24 09:09,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88568,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/3/24,10/5/24,211908,10844,lv,lv,10/8/24 10:41,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,51
88568,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/3/24,10/5/24,211908,10844,lv,lv,10/8/24 10:41,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,45
88567,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/2/24,10/4/24,211907,10454,lv,lv,10/8/24 10:40,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,51
88567,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/2/24,10/4/24,211907,10454,lv,lv,10/8/24 10:40,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,45
88566,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/1/24,10/3/24,211906,10775,lv,lv,10/8/24 10:40,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88566,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,10/1/24,10/3/24,211906,10775,lv,lv,10/8/24 10:40,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,45
88565,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/30/24,10/2/24,211905,11085,lv,lv,10/8/24 10:40,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88565,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/30/24,10/2/24,211905,11085,lv,lv,10/8/24 10:40,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,45
88564,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/29/24,10/1/24,211904,11274,lv,lv,10/8/24 10:40,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88564,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/29/24,10/1/24,211904,11274,lv,lv,10/8/24 10:40,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88563,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/28/24,9/30/24,211903,11568,lv,lv,10/8/24 10:40,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88563,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/28/24,9/30/24,211903,11568,lv,lv,10/8/24 10:40,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88438,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/27/24,9/29/24,211139,11381,lv,lv,10/1/24 09:14,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,51
88438,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/27/24,9/29/24,211139,11381,lv,lv,10/1/24 09:14,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88437,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/26/24,9/28/24,211138,11289,lv,lv,10/1/24 09:14,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88437,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/26/24,9/28/24,211138,11289,lv,lv,10/1/24 09:14,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,45
88436,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/25/24,9/27/24,211137,11003,lv,lv,10/1/24 09:14,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88436,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/25/24,9/27/24,211137,11003,lv,lv,10/1/24 09:14,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,45
88435,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/24/24,9/26/24,211136,11155,lv,lv,10/1/24 09:13,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88435,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/24/24,9/26/24,211136,11155,lv,lv,10/1/24 09:13,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,45
88434,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/23/24,9/25/24,211135,10966,lv,lv,10/1/24 09:13,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,51
88434,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/23/24,9/25/24,211135,10966,lv,lv,10/1/24 09:13,https://pro.morningconsult.com/trackers/2024-presidential-election-polling,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,45
88383,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/19/24,9/25/24,210916,977,rv,rv,9/26/24 20:25,https://www.bloomberg.com/news/features/2024-09-26/harris-holds-thin-lead-over-trump-in-swing-state-poll-election-2024,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49
88383,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/19/24,9/25/24,210916,977,rv,rv,9/26/24 20:25,https://www.bloomberg.com/news/features/2024-09-26/harris-holds-thin-lead-over-trump-in-swing-state-poll-election-2024,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
88383,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/19/24,9/25/24,210916,977,rv,rv,9/26/24 20:25,https://www.bloomberg.com/news/features/2024-09-26/harris-holds-thin-lead-over-trump-in-swing-state-poll-election-2024,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,GRE,Stein,31116,Jill Stein,1
88383,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/19/24,9/25/24,210916,977,rv,rv,9/26/24 20:25,https://www.bloomberg.com/news/features/2024-09-26/harris-holds-thin-lead-over-trump-in-swing-state-poll-election-2024,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,LIB,Oliver,31790,Chase Oliver,2
88383,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/19/24,9/25/24,210917,977,rv,rv,9/26/24 20:25,https://www.bloomberg.com/news/features/2024-09-26/harris-holds-thin-lead-over-trump-in-swing-state-poll-election-2024,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,50
88383,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/19/24,9/25/24,210917,977,rv,rv,9/26/24 20:25,https://www.bloomberg.com/news/features/2024-09-26/harris-holds-thin-lead-over-trump-in-swing-state-poll-election-2024,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,47
88383,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/19/24,9/25/24,210930,926,lv,lv,9/26/24 20:25,https://www.bloomberg.com/news/features/2024-09-26/harris-holds-thin-lead-over-trump-in-swing-state-poll-election-2024,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49
88383,1189,Morning Consult,Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3,9/19/24,9/25/24,210930,926,lv,lv,9/26/24 20:25,https://www.bloomberg.com/news/features/2024-09-26/harris-holds-thin-lead-over-trump-in-swing-state-poll-election-2024,8759,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,46
