"","poll_id","pollster_id","pollster","question_id","sample_size","pollscore","methodology","days_taken_from_election","end_date","start_date","state","candidate_name","pct"
"1",88229,438,"Siena",210092,1003,-0.8,"Live Phone/Text-to-Web",55,2024-09-16,2024-09-11,"New York","Kamala Harris",52
"2",87760,568,"YouGov",205810,1407,-1.1,"Online Panel",86,2024-08-13,2024-08-11,"National","Kamala Harris",46
"3",87899,1302,"Echelon Insights",206912,1031,-0.8,"Online Panel",74,2024-08-25,2024-08-23,"National","Kamala Harris",48
"4",88738,1847,"University of Massachusetts Lowell/YouGov",213057,600,-1,"Online Panel",34,2024-10-10,2024-10-02,"New Hampshire","Kamala Harris",50
"5",88395,1866,"CNN/SSRS",210986,931,-0.6,"Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone",46,2024-09-25,2024-09-20,"North Carolina","Kamala Harris",48
"6",88381,1597,"Beacon/Shaw",210910,707,-1.1,"Live Phone/Text-to-Web",46,2024-09-24,2024-09-20,"Georgia","Kamala Harris",51
"7",88278,1424,"Siena/NYT",210342,682,-1.5,"Live Phone",49,2024-09-21,2024-09-17,"North Carolina","Kamala Harris",46
"8",88177,241,"Ipsos",209518,3276,-0.9,"Probability Panel",55,2024-09-13,2024-09-11,"National","Kamala Harris",51
"9",88461,1102,"Emerson",211311,920,-1.1,"Online Panel/Text-to-Web",39,2024-09-28,2024-09-27,"Arizona","Kamala Harris",47.6
"10",87612,509,"U. North Florida",204676,774,-0.6,"Live Phone/Text-to-Web",104,2024-07-27,2024-07-24,"Florida","Kamala Harris",42
"11",88593,396,"Quinnipiac",212159,1073,-0.5,"Live Phone",33,2024-10-07,2024-10-03,"Wisconsin","Kamala Harris",47
"12",88208,568,"YouGov",209883,1445,-1.1,"Online Panel",51,2024-09-17,2024-09-15,"National","Kamala Harris",49
"13",88404,1424,"Siena/NYT",211031,688,-1.5,"Live Phone",45,2024-09-26,2024-09-21,"Michigan","Kamala Harris",48
"14",87844,1056,"Remington",206470,656,-0.6,"IVR",83,2024-08-17,2024-08-14,"Nebraska CD-2","Kamala Harris",50
"15",88403,1597,"Beacon/Shaw",211021,775,-1.1,"Live Phone/Text-to-Web",46,2024-09-24,2024-09-20,"Pennsylvania","Kamala Harris",49
"16",88380,1597,"Beacon/Shaw",210904,764,-1.1,"Live Phone/Text-to-Web",46,2024-09-24,2024-09-20,"Arizona","Kamala Harris",47
"17",88339,329,"Muhlenberg",210621,450,-1,"Live Phone",50,2024-09-19,2024-09-16,"Pennsylvania","Kamala Harris",48
"18",87860,525,"U. New Hampshire",206552,443,-0.3,"Probability Panel",82,2024-08-19,2024-08-15,"Maine CD-2","Kamala Harris",49
"19",88135,1075,"Marquette Law School",209226,738,-1.1,"Live Phone/Email",69,2024-09-05,2024-08-28,"Wisconsin","Kamala Harris",48
"20",87794,241,"Ipsos",206221,2336,-0.9,"Probability Panel",88,2024-08-13,2024-08-09,"National","Kamala Harris",50
"21",88072,568,"YouGov",207967,946,-1.1,"Online Panel",63,2024-09-06,2024-09-03,"Wisconsin","Kamala Harris",51
"22",87857,525,"U. New Hampshire",206549,924,-0.3,"Probability Panel",82,2024-08-19,2024-08-15,"Vermont","Kamala Harris",70
"23",88412,1528,"AtlasIntel",211070,858,-0.8,"Online Ad",46,2024-09-25,2024-09-20,"Nevada","Kamala Harris",50.5
"24",87809,1424,"Siena/NYT",206200,661,-1.5,"Live Phone",88,2024-08-14,2024-08-09,"Georgia","Kamala Harris",44
"25",88211,396,"Quinnipiac",209905,1331,-0.5,"Live Phone",54,2024-09-16,2024-09-12,"Pennsylvania","Kamala Harris",51
"26",87937,1102,"Emerson",207321,1168,-1.1,"IVR/Online Panel/Text-to-Web",72,2024-08-28,2024-08-25,"Nevada","Kamala Harris",49.4
"27",88412,1528,"AtlasIntel",211069,858,-0.8,"Online Ad",46,2024-09-25,2024-09-20,"Nevada","Kamala Harris",50.6
"28",88095,396,"Quinnipiac",208325,940,-0.5,"Live Phone",62,2024-09-08,2024-09-04,"North Carolina","Kamala Harris",49
"29",87809,1424,"Siena/NYT",206204,661,-1.5,"Live Phone",88,2024-08-14,2024-08-09,"Georgia","Kamala Harris",46
"30",88722,460,"SurveyUSA",212896,703,-1.3,"Online Panel",27,2024-10-14,2024-10-09,"Washington","Kamala Harris",57
"31",87794,241,"Ipsos",206224,2336,-0.9,"Probability Panel",88,2024-08-13,2024-08-09,"National","Kamala Harris",47
"32",87558,525,"U. New Hampshire",204333,1445,-0.3,"Online Panel/Text-to-Web",105,2024-07-25,2024-07-23,"Maine","Kamala Harris",48
"33",88617,1424,"Siena/NYT",212207,656,-1.5,"Live Phone",31,2024-10-08,2024-10-05,"Montana","Kamala Harris",39
"34",88736,1597,"Beacon/Shaw",212990,870,-1.1,"Live Phone/Text-to-Web",25,2024-10-14,2024-10-11,"National","Kamala Harris",48
"35",88271,1292,"Hart/POS",210306,1000,-0.7,"Live Phone",53,2024-09-17,2024-09-13,"National","Kamala Harris",47
"36",88477,553,"Winthrop U.",211345,1068,-0.3,"Live Phone/Online Panel",45,2024-09-29,2024-09-21,"South Carolina","Kamala Harris",42
"37",87930,1597,"Beacon/Shaw",207243,1014,-1.1,"Live Phone/Text-to-Web",74,2024-08-26,2024-08-23,"Arizona","Kamala Harris",48
"38",88593,396,"Quinnipiac",212156,1073,-0.5,"Live Phone",33,2024-10-07,2024-10-03,"Wisconsin","Kamala Harris",46
"39",87882,1102,"Emerson",206738,965,-1.1,"IVR/Online Panel/Text-to-Web",77,2024-08-22,2024-08-20,"New Mexico","Kamala Harris",53.6
"40",87696,568,"YouGov",205407,1413,-1.1,"Online Panel",93,2024-08-06,2024-08-04,"National","Kamala Harris",45
"41",88302,978,"Elon U.",210420,800,-0.6,"Online Panel",62,2024-09-13,2024-09-04,"North Carolina","Kamala Harris",46
"42",88080,568,"YouGov",208269,500,-1.1,"Online Panel",82,2024-08-23,2024-08-15,"Pennsylvania","Kamala Harris",43
"43",88177,241,"Ipsos",209517,2196,-0.9,"Probability Panel",55,2024-09-13,2024-09-11,"National","Kamala Harris",52
"44",88242,1424,"Siena/NYT",210090,1082,-1.5,"Live Phone",55,2024-09-16,2024-09-11,"Pennsylvania","Kamala Harris",49
"45",87918,568,"YouGov",207082,1788,-1.1,"Online Panel",75,2024-08-26,2024-08-22,"National","Kamala Harris",39
"46",87999,241,"Ipsos",207601,2496,-0.9,"Probability Panel",74,2024-08-27,2024-08-23,"National","Kamala Harris",49
"47",88667,241,"Ipsos",212481,1714,-0.9,"Probability Panel",32,2024-10-08,2024-10-04,"National","Kamala Harris",50
"48",87933,1597,"Beacon/Shaw",207249,999,-1.1,"Live Phone/Text-to-Web",74,2024-08-26,2024-08-23,"North Carolina","Kamala Harris",47
"49",88277,1424,"Siena/NYT",210338,682,-1.5,"Live Phone",49,2024-09-21,2024-09-17,"Georgia","Kamala Harris",43
"50",88416,1528,"AtlasIntel",211066,1200,-0.8,"Online Ad",46,2024-09-25,2024-09-20,"Georgia","Kamala Harris",49
"51",88242,1424,"Siena/NYT",210089,1082,-1.5,"Live Phone",55,2024-09-16,2024-09-11,"Pennsylvania","Kamala Harris",48
"52",87544,1102,"Emerson",204150,800,-1.1,"IVR/Online Panel/Text-to-Web",106,2024-07-23,2024-07-22,"Michigan","Kamala Harris",49.1
"53",88798,1528,"AtlasIntel",213389,1171,-0.8,"Online Ad",24,2024-10-17,2024-10-12,"Nevada","Kamala Harris",48.4
"54",88095,396,"Quinnipiac",208327,940,-0.5,"Live Phone",62,2024-09-08,2024-09-04,"North Carolina","Kamala Harris",50
"55",88380,1597,"Beacon/Shaw",210905,1021,-1.1,"Live Phone/Text-to-Web",46,2024-09-24,2024-09-20,"Arizona","Kamala Harris",48
"56",88404,1424,"Siena/NYT",211029,688,-1.5,"Live Phone",45,2024-09-26,2024-09-21,"Michigan","Kamala Harris",45
"57",88363,1205,"Marist",210782,1416,-0.9,"Live Phone/Online Panel/Text-to-Web",47,2024-09-24,2024-09-19,"Arizona","Kamala Harris",48
"58",87932,1597,"Beacon/Shaw",207247,1026,-1.1,"Live Phone/Text-to-Web",74,2024-08-26,2024-08-23,"Nevada","Kamala Harris",48
"59",88719,149,"Fairleigh Dickinson",212865,806,-0.6,"Live Phone/Text-to-Web",28,2024-10-14,2024-10-08,"National","Kamala Harris",50
"60",88067,568,"YouGov",207935,1200,-1.1,"Online Panel",74,2024-08-31,2024-08-23,"Texas","Kamala Harris",44
"61",88558,241,"Ipsos",211854,1076,-0.9,"Probability Panel",32,2024-10-07,2024-10-04,"National","Kamala Harris",46
"62",87546,1102,"Emerson",204157,850,-1.1,"IVR/Online Panel/Text-to-Web",106,2024-07-23,2024-07-22,"Pennsylvania","Kamala Harris",44.3
"63",87583,1597,"Beacon/Shaw",204508,1034,-1.1,"Live Phone/Text-to-Web",106,2024-07-24,2024-07-22,"Pennsylvania","Kamala Harris",49
"64",88286,290,"MassINC Polling Group",210360,800,-0.8,"Live Phone/Text-to-Web",54,2024-09-18,2024-09-12,"Wisconsin","Kamala Harris",51
"65",88737,1847,"University of Massachusetts Lowell/YouGov",213056,800,-1,"Online Panel",34,2024-10-09,2024-10-02,"Pennsylvania","Kamala Harris",46
"66",88082,568,"YouGov",208265,500,-1.1,"Online Panel",82,2024-08-23,2024-08-15,"Michigan","Kamala Harris",44
"67",88431,486,"The Washington Post",211144,1001,-1.2,"Live Phone/Text-to-Web",41,2024-09-29,2024-09-25,"North Carolina","Kamala Harris",47
"68",87931,1597,"Beacon/Shaw",207246,1014,-1.1,"Live Phone/Text-to-Web",74,2024-08-26,2024-08-23,"Georgia","Kamala Harris",50
"69",87699,1075,"Marquette Law School",205434,683,-1.1,"Probability Panel",104,2024-08-01,2024-07-24,"National","Kamala Harris",53
"70",87583,1597,"Beacon/Shaw",204507,1034,-1.1,"Live Phone/Text-to-Web",106,2024-07-24,2024-07-22,"Pennsylvania","Kamala Harris",45
"71",88406,1424,"Siena/NYT",211037,680,-1.5,"Live Phone",45,2024-09-26,2024-09-21,"Wisconsin","Kamala Harris",49
"72",88711,1205,"Marist",212859,1401,-0.9,"Online Panel/Text-to-Web",28,2024-10-10,2024-10-08,"National","Kamala Harris",52
"73",88796,1528,"AtlasIntel",213384,1411,-0.8,"Online Ad",24,2024-10-17,2024-10-12,"Georgia","Kamala Harris",48.1
"74",88592,396,"Quinnipiac",212158,1412,-0.5,"Live Phone",33,2024-10-07,2024-10-03,"Pennsylvania","Kamala Harris",49
"75",87678,438,"Siena",205260,1199,-0.8,"Live Phone",100,2024-08-01,2024-07-28,"New York","Kamala Harris",53
"76",88286,290,"MassINC Polling Group",210361,800,-0.8,"Live Phone/Text-to-Web",54,2024-09-18,2024-09-12,"Wisconsin","Kamala Harris",53
"77",87797,1102,"Emerson",206164,1000,-1.1,"IVR/Online Panel/Text-to-Web",84,2024-08-14,2024-08-13,"Pennsylvania","Kamala Harris",46.8
"78",87699,1075,"Marquette Law School",205435,879,-1.1,"Probability Panel",104,2024-08-01,2024-07-24,"National","Kamala Harris",47
"79",88710,568,"YouGov",212852,1314,-1.1,"Online Panel",24,2024-10-15,2024-10-12,"National","Kamala Harris",49
"80",87918,568,"YouGov",207080,1194,-1.1,"Online Panel",75,2024-08-26,2024-08-22,"National","Kamala Harris",46
"81",88177,241,"Ipsos",209520,2196,-0.9,"Probability Panel",55,2024-09-13,2024-09-11,"National","Kamala Harris",51
"82",88482,568,"YouGov",211401,1463,-1.1,"Online Panel",37,2024-10-01,2024-09-29,"National","Kamala Harris",48
"83",87859,525,"U. New Hampshire",206554,476,-0.3,"Probability Panel",82,2024-08-19,2024-08-15,"Maine CD-1","Kamala Harris",64
"84",88590,568,"YouGov",212127,1230,-1.1,"Online Panel",30,2024-10-07,2024-10-06,"National","Kamala Harris",49
"85",87699,1075,"Marquette Law School",205433,879,-1.1,"Probability Panel",104,2024-08-01,2024-07-24,"National","Kamala Harris",52
"86",88324,568,"YouGov",210533,1835,-1.1,"Online Panel",82,2024-08-22,2024-08-15,"National","Kamala Harris",44
"87",88797,1528,"AtlasIntel",213387,1529,-0.8,"Online Ad",24,2024-10-17,2024-10-12,"Michigan","Kamala Harris",47.3
"88",88368,1205,"Marist",210785,1420,-0.9,"Live Phone/Online Panel/Text-to-Web",47,2024-09-24,2024-09-19,"Georgia","Kamala Harris",49
"89",88232,1205,"Marist",210071,1476,-0.9,"Live Phone/Online Panel/Text-to-Web",54,2024-09-17,2024-09-12,"Pennsylvania","Kamala Harris",49
"90",88229,438,"Siena",210093,1003,-0.8,"Live Phone/Text-to-Web",55,2024-09-16,2024-09-11,"New York","Kamala Harris",55
"91",88431,486,"The Washington Post",211143,1001,-1.2,"Live Phone/Text-to-Web",41,2024-09-29,2024-09-25,"North Carolina","Kamala Harris",48
"92",88135,1075,"Marquette Law School",209223,822,-1.1,"Live Phone/Email",69,2024-09-05,2024-08-28,"Wisconsin","Kamala Harris",52
"93",88613,1205,"Marist",212192,1257,-0.9,"Live Phone/Online Panel/Text-to-Web",33,2024-10-07,2024-10-03,"Florida","Kamala Harris",47
"94",88795,1528,"AtlasIntel",213382,1440,-0.8,"Online Ad",24,2024-10-17,2024-10-12,"Arizona","Kamala Harris",48.6
"95",87807,1424,"Siena/NYT",206210,677,-1.5,"Live Phone",85,2024-08-15,2024-08-12,"Nevada","Kamala Harris",42
"96",88558,241,"Ipsos",211853,1272,-0.9,"Probability Panel",32,2024-10-07,2024-10-04,"National","Kamala Harris",42
"97",88614,1205,"Marist",212195,1186,-0.9,"Live Phone/Online Panel/Text-to-Web",33,2024-10-07,2024-10-03,"Texas","Kamala Harris",46
"98",88015,1866,"CNN/SSRS",207691,682,-0.6,"Probability Panel",74,2024-08-29,2024-08-23,"Arizona","Kamala Harris",44
"99",88105,1460,"Washington Post/George Mason University",208351,1005,-0.8,"Live Phone/Text-to-Web",62,2024-09-08,2024-09-04,"Virginia","Kamala Harris",51
"100",88503,217,"High Point University",211537,589,-0.4,"Online Panel",46,2024-09-29,2024-09-20,"North Carolina","Kamala Harris",48
"101",88556,1424,"Siena/NYT",211850,617,-1.5,"Live Phone",37,2024-10-04,2024-09-29,"Texas","Kamala Harris",44
"102",88017,1866,"CNN/SSRS",207693,708,-0.6,"Probability Panel",74,2024-08-29,2024-08-23,"Michigan","Kamala Harris",48
"103",87724,525,"U. New Hampshire",205660,732,-0.3,"Online Panel/Text-to-Web",105,2024-07-25,2024-07-23,"Maine CD-1","Kamala Harris",56
"104",88278,1424,"Siena/NYT",210343,682,-1.5,"Live Phone",49,2024-09-21,2024-09-17,"North Carolina","Kamala Harris",45
"105",88555,1424,"Siena/NYT",211848,622,-1.5,"Live Phone",37,2024-10-06,2024-09-29,"Florida","Kamala Harris",41
"106",88794,1528,"AtlasIntel",213380,4180,-0.8,"Online Ad",24,2024-10-17,2024-10-12,"National","Kamala Harris",47.6
"107",88664,1424,"Siena/NYT",212460,857,-1.5,"Live Phone",29,2024-10-10,2024-10-07,"Pennsylvania","Kamala Harris",49
"108",87920,568,"YouGov",207186,1368,-1.1,"Online Panel",72,2024-08-27,2024-08-25,"National","Kamala Harris",47
"109",88799,1528,"AtlasIntel",213390,1674,-0.8,"Online Ad",24,2024-10-17,2024-10-12,"North Carolina","Kamala Harris",49.5
"110",87946,241,"Ipsos",207532,4253,-0.9,"Probability Panel",76,2024-08-28,2024-08-21,"National","Kamala Harris",41
"111",87725,525,"U. New Hampshire",205661,701,-0.3,"Online Panel/Text-to-Web",105,2024-07-25,2024-07-23,"Maine CD-2","Kamala Harris",40
