"","poll_id","pollster_id","pollster","question_id","sample_size","pollscore","methodology","days_taken_from_election","end_date","start_date","state","candidate_name","pct"
"1",88634,370,"Pew",212276,4025,-0.4,"Probability Panel",36,2024-10-06,2024-09-30,"National","Donald Trump",49
"2",88801,1528,"AtlasIntel",213395,932,-0.8,"Online Ad",24,2024-10-17,2024-10-12,"Wisconsin","Donald Trump",48.4
"3",87808,1424,"Siena/NYT",206205,655,-1.5,"Live Phone",88,2024-08-14,2024-08-09,"North Carolina","Donald Trump",47
"4",88361,568,"YouGov",210760,1441,-1.1,"Online Panel",46,2024-09-24,2024-09-20,"Georgia","Donald Trump",51
"5",87781,1102,"Emerson",206012,1000,-1.1,"IVR/Online Panel/Text-to-Web",85,2024-08-14,2024-08-12,"National","Donald Trump",47.7
"6",87678,438,"Siena",205261,1199,-0.8,"Live Phone",100,2024-08-01,2024-07-28,"New York","Donald Trump",37
"7",87806,1424,"Siena/NYT",206203,677,-1.5,"Live Phone",89,2024-08-15,2024-08-08,"Arizona","Donald Trump",45
"8",88351,568,"YouGov",210699,1220,-1.1,"Online Panel",45,2024-09-24,2024-09-21,"National","Donald Trump",46
"9",87744,458,"Suffolk",205739,500,-1,"Live Phone",90,2024-08-11,2024-08-07,"Florida","Donald Trump",46.8
"10",88362,1296,"University of Maryland/Washington Post",210779,1012,-0.3,"Live Phone/Text-to-Web",47,2024-09-23,2024-09-19,"Maryland","Donald Trump",32
"11",88365,1102,"Emerson",210790,860,-1.1,"Online Panel/Text-to-Web",44,2024-09-24,2024-09-22,"Virginia","Donald Trump",46.2
"12",87918,568,"YouGov",207083,1200,-1.1,"Online Panel",75,2024-08-26,2024-08-22,"National","Donald Trump",42
"13",87546,1102,"Emerson",204152,850,-1.1,"IVR/Online Panel/Text-to-Web",106,2024-07-23,2024-07-22,"Pennsylvania","Donald Trump",51.1
"14",87882,1102,"Emerson",206738,965,-1.1,"IVR/Online Panel/Text-to-Web",77,2024-08-22,2024-08-20,"New Mexico","Donald Trump",46.4
"15",88457,396,"Quinnipiac",211301,953,-0.5,"Live Phone",41,2024-09-29,2024-09-25,"North Carolina","Donald Trump",49
"16",87860,525,"U. New Hampshire",206552,443,-0.3,"Probability Panel",82,2024-08-19,2024-08-15,"Maine CD-2","Donald Trump",44
"17",87810,568,"YouGov",206220,3253,-1.1,"Online Panel",83,2024-08-16,2024-08-14,"National","Donald Trump",47
"18",88072,568,"YouGov",207967,946,-1.1,"Online Panel",63,2024-09-06,2024-09-03,"Wisconsin","Donald Trump",49
"19",88223,1597,"Beacon/Shaw",209979,1102,-1.1,"Live Phone/Text-to-Web",53,2024-09-16,2024-09-13,"National","Donald Trump",48
"20",87582,1597,"Beacon/Shaw",204503,1046,-1.1,"Live Phone/Text-to-Web",106,2024-07-24,2024-07-22,"Wisconsin","Donald Trump",46
"21",87946,241,"Ipsos",207533,3562,-0.9,"Probability Panel",76,2024-08-28,2024-08-21,"National","Donald Trump",41
"22",88311,290,"MassINC Polling Group",210422,800,-0.8,"Live Phone/Text-to-Web",54,2024-09-18,2024-09-12,"Rhode Island","Donald Trump",43
"23",88170,568,"YouGov",209429,1175,-1.1,"Online Panel",55,2024-09-13,2024-09-11,"National","Donald Trump",44
"24",88712,1075,"Marquette Law School",212867,780,-1.1,"Probability Panel",35,2024-10-10,2024-10-01,"National","Donald Trump",39
"25",88021,568,"YouGov",207698,1389,-1.1,"Online Panel",65,2024-09-03,2024-09-01,"National","Donald Trump",45
"26",88555,1424,"Siena/NYT",212201,622,-1.5,"Live Phone",37,2024-10-06,2024-09-29,"Florida","Donald Trump",53
"27",88556,1424,"Siena/NYT",211851,617,-1.5,"Live Phone",37,2024-10-04,2024-09-29,"Texas","Donald Trump",49
"28",88130,568,"YouGov",209155,1464,-1.1,"Online Panel",58,2024-09-10,2024-09-08,"National","Donald Trump",45
"29",88798,1528,"AtlasIntel",213389,1171,-0.8,"Online Ad",24,2024-10-17,2024-10-12,"Nevada","Donald Trump",48.3
"30",88415,1528,"AtlasIntel",211071,1173,-0.8,"Online Ad",46,2024-09-25,2024-09-20,"North Carolina","Donald Trump",47.3
"31",88242,1424,"Siena/NYT",210089,1082,-1.5,"Live Phone",55,2024-09-16,2024-09-11,"Pennsylvania","Donald Trump",45
"32",87943,1102,"Emerson",207322,775,-1.1,"IVR/Online Panel/Text-to-Web",72,2024-08-28,2024-08-25,"North Carolina","Donald Trump",49.9
"33",87724,525,"U. New Hampshire",205674,732,-0.3,"Online Panel/Text-to-Web",105,2024-07-25,2024-07-23,"Maine CD-1","Donald Trump",39
"34",87810,568,"YouGov",206219,3253,-1.1,"Online Panel",83,2024-08-16,2024-08-14,"National","Donald Trump",48
"35",88358,241,"Ipsos",210761,1029,-0.9,"Probability Panel",46,2024-09-22,2024-09-20,"National","Donald Trump",38
"36",87698,1075,"Marquette Law School",205428,801,-1.1,"Live Phone/Email",104,2024-08-01,2024-07-24,"Wisconsin","Donald Trump",45
"37",87530,241,"Ipsos",203948,1241,-0.9,"Probability Panel",106,2024-07-23,2024-07-22,"National","Donald Trump",39
"38",88393,460,"SurveyUSA",210966,646,-1.3,"Online Panel",43,2024-09-26,2024-09-23,"Minnesota","Donald Trump",44
"39",88105,1460,"Washington Post/George Mason University",208349,1005,-0.8,"Live Phone/Text-to-Web",62,2024-09-08,2024-09-04,"Virginia","Donald Trump",43
"40",87858,525,"U. New Hampshire",206550,951,-0.3,"Probability Panel",82,2024-08-19,2024-08-15,"Maine","Donald Trump",38
"41",87583,1597,"Beacon/Shaw",204510,1034,-1.1,"Live Phone/Text-to-Web",106,2024-07-24,2024-07-22,"Pennsylvania","Donald Trump",44
"42",88797,1528,"AtlasIntel",213387,1529,-0.8,"Online Ad",24,2024-10-17,2024-10-12,"Michigan","Donald Trump",50.2
"43",88482,568,"YouGov",211401,1463,-1.1,"Online Panel",37,2024-10-01,2024-09-29,"National","Donald Trump",45
"44",88211,396,"Quinnipiac",209902,1331,-0.5,"Live Phone",54,2024-09-16,2024-09-12,"Pennsylvania","Donald Trump",45
"45",88776,1516,"East Carolina University",213298,701,-0.5,"IVR/Text-to-Web",27,2024-10-14,2024-10-09,"Georgia","Donald Trump",48.9
"46",88101,396,"Quinnipiac",208324,969,-0.5,"Live Phone",62,2024-09-08,2024-09-04,"Georgia","Donald Trump",49
"47",88135,1075,"Marquette Law School",209224,738,-1.1,"Live Phone/Email",69,2024-09-05,2024-08-28,"Wisconsin","Donald Trump",48
"48",88558,241,"Ipsos",211854,1076,-0.9,"Probability Panel",32,2024-10-07,2024-10-04,"National","Donald Trump",43
"49",88184,458,"Suffolk",209630,500,-1,"Live Phone",55,2024-09-14,2024-09-11,"Pennsylvania","Donald Trump",45.6
"50",88558,241,"Ipsos",211853,1272,-0.9,"Probability Panel",32,2024-10-07,2024-10-04,"National","Donald Trump",38
"51",88217,525,"U. New Hampshire",209936,683,-0.3,"Probability Panel",54,2024-09-16,2024-09-12,"Rhode Island","Donald Trump",38
"52",87899,1302,"Echelon Insights",206913,1031,-0.8,"Online Panel",74,2024-08-25,2024-08-23,"National","Donald Trump",45
"53",88211,396,"Quinnipiac",209905,1331,-0.5,"Live Phone",54,2024-09-16,2024-09-12,"Pennsylvania","Donald Trump",46
"54",88278,1424,"Siena/NYT",210342,682,-1.5,"Live Phone",49,2024-09-21,2024-09-17,"North Carolina","Donald Trump",46
"55",87544,1102,"Emerson",204150,800,-1.1,"IVR/Online Panel/Text-to-Web",106,2024-07-23,2024-07-22,"Michigan","Donald Trump",50.9
"56",88325,1866,"CNN/SSRS",210546,2074,-0.6,"Probability Panel",47,2024-09-22,2024-09-19,"National","Donald Trump",47
"57",88277,1424,"Siena/NYT",210337,682,-1.5,"Live Phone",49,2024-09-21,2024-09-17,"Georgia","Donald Trump",49
"58",88381,1597,"Beacon/Shaw",210908,707,-1.1,"Live Phone/Text-to-Web",46,2024-09-24,2024-09-20,"Georgia","Donald Trump",48
"59",87946,241,"Ipsos",207532,4253,-0.9,"Probability Panel",76,2024-08-28,2024-08-21,"National","Donald Trump",38
"60",88374,1302,"Echelon Insights",210847,1005,-0.8,"Online Panel",43,2024-09-25,2024-09-23,"National","Donald Trump",45
"61",88514,1363,"UC Berkeley",212244,3045,-0.2,"Email",41,2024-10-01,2024-09-25,"California","Donald Trump",35
"62",87709,241,"Ipsos",205592,1342,-0.9,"Probability Panel",95,2024-08-07,2024-08-02,"National","Donald Trump",37
"63",87936,1102,"Emerson",207319,800,-1.1,"IVR/Online Panel/Text-to-Web",72,2024-08-28,2024-08-25,"Michigan","Donald Trump",47.6
"64",87545,1102,"Emerson",204156,845,-1.1,"IVR/Online Panel/Text-to-Web",106,2024-07-23,2024-07-22,"Wisconsin","Donald Trump",44.9
"65",88667,241,"Ipsos",212481,1714,-0.9,"Probability Panel",32,2024-10-08,2024-10-04,"National","Donald Trump",48
"66",88556,1424,"Siena/NYT",212203,617,-1.5,"Live Phone",37,2024-10-04,2024-09-29,"Texas","Donald Trump",48
"67",87809,1424,"Siena/NYT",206204,661,-1.5,"Live Phone",88,2024-08-14,2024-08-09,"Georgia","Donald Trump",50
"68",88407,1424,"Siena/NYT",211042,680,-1.5,"Live Phone",42,2024-09-26,2024-09-24,"Nebraska CD-2","Donald Trump",41
"69",88711,1205,"Marist",212860,1708,-0.9,"Online Panel/Text-to-Web",28,2024-10-10,2024-10-08,"National","Donald Trump",48
"70",88609,1102,"Emerson",212188,900,-1.1,"IVR/Online Panel/Text-to-Web",31,2024-10-08,2024-10-05,"Nevada","Donald Trump",48.1
"71",88267,290,"MassINC Polling Group",210291,800,-0.8,"Live Phone/Text-to-Web",54,2024-09-18,2024-09-12,"Pennsylvania","Donald Trump",47
"72",88080,568,"YouGov",208269,500,-1.1,"Online Panel",82,2024-08-23,2024-08-15,"Pennsylvania","Donald Trump",41
"73",88431,486,"The Washington Post",211143,1001,-1.2,"Live Phone/Text-to-Web",41,2024-09-29,2024-09-25,"North Carolina","Donald Trump",50
"74",87945,458,"Suffolk",207330,1000,-1,"Live Phone",72,2024-08-28,2024-08-25,"National","Donald Trump",43.3
"75",88095,396,"Quinnipiac",208325,940,-0.5,"Live Phone",62,2024-09-08,2024-09-04,"North Carolina","Donald Trump",46
"76",87583,1597,"Beacon/Shaw",204508,1034,-1.1,"Live Phone/Text-to-Web",106,2024-07-24,2024-07-22,"Pennsylvania","Donald Trump",49
"77",88488,1075,"Marquette Law School",211436,882,-1.1,"Probability Panel",48,2024-09-26,2024-09-18,"Wisconsin","Donald Trump",44
"78",87808,1424,"Siena/NYT",206213,655,-1.5,"Live Phone",88,2024-08-14,2024-08-09,"North Carolina","Donald Trump",44
"79",87584,1597,"Beacon/Shaw",204511,1071,-1.1,"Live Phone/Text-to-Web",106,2024-07-24,2024-07-22,"Minnesota","Donald Trump",41
"80",88527,568,"YouGov",211791,1033,-1.1,"Online Panel",34,2024-10-04,2024-10-02,"National","Donald Trump",47
"81",88242,1424,"Siena/NYT",210090,1082,-1.5,"Live Phone",55,2024-09-16,2024-09-11,"Pennsylvania","Donald Trump",45
"82",87870,1050,"SurveyUSA/High Point University",206735,941,-1.3,"Online Panel",78,2024-08-21,2024-08-19,"North Carolina","Donald Trump",47
"83",88380,1597,"Beacon/Shaw",210904,764,-1.1,"Live Phone/Text-to-Web",46,2024-09-24,2024-09-20,"Arizona","Donald Trump",50
"84",88242,1424,"Siena/NYT",210087,1082,-1.5,"Live Phone",55,2024-09-16,2024-09-11,"Pennsylvania","Donald Trump",46
"85",87543,1102,"Emerson",204149,800,-1.1,"IVR/Online Panel/Text-to-Web",106,2024-07-23,2024-07-22,"Georgia","Donald Trump",51.1
"86",88275,290,"MassINC Polling Group",210330,800,-0.8,"Live Phone/Text-to-Web",54,2024-09-18,2024-09-12,"Massachusetts","Donald Trump",32
"87",88734,396,"Quinnipiac",212958,1328,-0.5,"Live Phone",26,2024-10-14,2024-10-10,"Georgia","Donald Trump",52
"88",88413,1528,"AtlasIntel",211074,1775,-0.8,"Online Ad",46,2024-09-25,2024-09-20,"Pennsylvania","Donald Trump",51
"89",88712,1075,"Marquette Law School",212866,780,-1.1,"Probability Panel",35,2024-10-10,2024-10-01,"National","Donald Trump",50
"90",88403,1597,"Beacon/Shaw",211019,775,-1.1,"Live Phone/Text-to-Web",46,2024-09-24,2024-09-20,"Pennsylvania","Donald Trump",48
"91",88664,1424,"Siena/NYT",212457,857,-1.5,"Live Phone",29,2024-10-10,2024-10-07,"Pennsylvania","Donald Trump",47
"92",88364,1102,"Emerson",210789,950,-1.1,"Online Panel/Text-to-Web",44,2024-09-24,2024-09-22,"Texas","Donald Trump",52.3
"93",88608,1102,"Emerson",212187,950,-1.1,"IVR/Online Panel/Text-to-Web",31,2024-10-08,2024-10-05,"Michigan","Donald Trump",49.6
"94",88225,382,"PPIC",210069,1071,-0.4,"Probability Panel",68,2024-09-09,2024-08-29,"California","Donald Trump",29
"95",88358,241,"Ipsos",210599,871,-0.9,"Probability Panel",46,2024-09-22,2024-09-20,"National","Donald Trump",40.48
"96",87860,525,"U. New Hampshire",206555,432,-0.3,"Probability Panel",82,2024-08-19,2024-08-15,"Maine CD-2","Donald Trump",47
"97",88710,568,"YouGov",212851,1457,-1.1,"Online Panel",24,2024-10-15,2024-10-12,"National","Donald Trump",45
"98",88368,1205,"Marist",210786,1220,-0.9,"Live Phone/Online Panel/Text-to-Web",47,2024-09-24,2024-09-19,"Georgia","Donald Trump",50
"99",88397,1866,"CNN/SSRS",210987,749,-0.6,"Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone",46,2024-09-25,2024-09-20,"Nebraska CD-2","Donald Trump",42
"100",88080,568,"YouGov",208263,500,-1.1,"Online Panel",82,2024-08-23,2024-08-15,"Pennsylvania","Donald Trump",42.5
"101",87544,1102,"Emerson",204155,800,-1.1,"IVR/Online Panel/Text-to-Web",106,2024-07-23,2024-07-22,"Michigan","Donald Trump",44.1
"102",88527,568,"YouGov",211692,1032,-1.1,"Online Panel",34,2024-10-04,2024-10-02,"National","Donald Trump",47
"103",88286,290,"MassINC Polling Group",210360,800,-0.8,"Live Phone/Text-to-Web",54,2024-09-18,2024-09-12,"Wisconsin","Donald Trump",45
"104",87584,1597,"Beacon/Shaw",204513,1071,-1.1,"Live Phone/Text-to-Web",106,2024-07-24,2024-07-22,"Minnesota","Donald Trump",46
"105",88402,1597,"Beacon/Shaw",211016,991,-1.1,"Live Phone/Text-to-Web",46,2024-09-24,2024-09-20,"North Carolina","Donald Trump",47
"106",87857,525,"U. New Hampshire",206548,924,-0.3,"Probability Panel",82,2024-08-19,2024-08-15,"Vermont","Donald Trump",27
"107",88404,1424,"Siena/NYT",211029,688,-1.5,"Live Phone",45,2024-09-26,2024-09-21,"Michigan","Donald Trump",47
"108",88144,241,"Ipsos",209263,1690,-0.9,"Probability Panel",55,2024-09-12,2024-09-11,"National","Donald Trump",39
"109",87918,568,"YouGov",207081,1197,-1.1,"Online Panel",75,2024-08-26,2024-08-22,"National","Donald Trump",46
"110",88395,1866,"CNN/SSRS",210986,931,-0.6,"Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone",46,2024-09-25,2024-09-20,"North Carolina","Donald Trump",48
"111",88402,1597,"Beacon/Shaw",211017,787,-1.1,"Live Phone/Text-to-Web",46,2024-09-24,2024-09-20,"North Carolina","Donald Trump",50
"112",88105,1460,"Washington Post/George Mason University",208351,1005,-0.8,"Live Phone/Text-to-Web",62,2024-09-08,2024-09-04,"Virginia","Donald Trump",43
"113",87546,1102,"Emerson",204157,850,-1.1,"IVR/Online Panel/Text-to-Web",106,2024-07-23,2024-07-22,"Pennsylvania","Donald Trump",46.1
"114",88611,1102,"Emerson",212190,1000,-1.1,"IVR/Online Panel/Text-to-Web",31,2024-10-08,2024-10-05,"Pennsylvania","Donald Trump",49.7
"115",88082,568,"YouGov",208265,500,-1.1,"Online Panel",82,2024-08-23,2024-08-15,"Michigan","Donald Trump",43.5
"116",88664,1424,"Siena/NYT",212458,857,-1.5,"Live Phone",29,2024-10-10,2024-10-07,"Pennsylvania","Donald Trump",45
"117",88593,396,"Quinnipiac",212159,1073,-0.5,"Live Phone",33,2024-10-07,2024-10-03,"Wisconsin","Donald Trump",49
"118",88073,1424,"Siena/NYT",207971,1695,-1.5,"Live Phone",63,2024-09-06,2024-09-03,"National","Donald Trump",46
"119",87777,396,"Quinnipiac",205901,1738,-0.5,"Live Phone",89,2024-08-12,2024-08-08,"Pennsylvania","Donald Trump",47
"120",88067,568,"YouGov",207936,1200,-1.1,"Online Panel",74,2024-08-31,2024-08-23,"Texas","Donald Trump",49
"121",87559,525,"U. New Hampshire",204335,2875,-0.3,"Online Panel/Text-to-Web",105,2024-07-25,2024-07-23,"New Hampshire","Donald Trump",43
"122",87585,1597,"Beacon/Shaw",204517,1012,-1.1,"Live Phone/Text-to-Web",106,2024-07-24,2024-07-22,"Michigan","Donald Trump",46
"123",88462,1102,"Emerson",211310,850,-1.1,"Online Panel/Text-to-Web",39,2024-09-28,2024-09-27,"North Carolina","Donald Trump",49.9
"124",87700,1102,"Emerson",205438,1000,-1.1,"Online Panel/Text-to-Web",92,2024-08-06,2024-08-05,"Montana","Donald Trump",53.5
"125",87794,241,"Ipsos",206223,1505,-0.9,"Probability Panel",88,2024-08-13,2024-08-09,"National","Donald Trump",45
"126",87584,1597,"Beacon/Shaw",204512,1071,-1.1,"Live Phone/Text-to-Web",106,2024-07-24,2024-07-22,"Minnesota","Donald Trump",46
"127",88721,1102,"Emerson",212897,1000,-1.1,"IVR/Online Panel",24,2024-10-14,2024-10-12,"California","Donald Trump",36.6
"128",88368,1205,"Marist",210785,1420,-0.9,"Live Phone/Online Panel/Text-to-Web",47,2024-09-24,2024-09-19,"Georgia","Donald Trump",48
"129",88614,1205,"Marist",212194,1365,-0.9,"Live Phone/Online Panel/Text-to-Web",33,2024-10-07,2024-10-03,"Texas","Donald Trump",52
"130",88590,568,"YouGov",212127,1230,-1.1,"Online Panel",30,2024-10-07,2024-10-06,"National","Donald Trump",45
"131",87557,1424,"Siena/NYT",204204,1142,-1.5,"Live Phone",106,2024-07-24,2024-07-22,"National","Donald Trump",48
"132",88338,460,"SurveyUSA",210620,558,-1.3,"IVR/Online Panel/Text-to-Web",46,2024-09-23,2024-09-20,"Nebraska","Donald Trump",56
"133",88412,1528,"AtlasIntel",211070,858,-0.8,"Online Ad",46,2024-09-25,2024-09-20,"Nevada","Donald Trump",47.7
"134",88592,396,"Quinnipiac",212155,1412,-0.5,"Live Phone",33,2024-10-07,2024-10-03,"Pennsylvania","Donald Trump",46
"135",87679,1205,"Marist",205296,1513,-0.9,"Live Phone/Online Panel/Text-to-Web",96,2024-08-04,2024-08-01,"National","Donald Trump",48
"136",87701,1292,"Hart/POS",205460,1001,-0.7,"Live Phone",97,2024-08-04,2024-07-31,"National","Donald Trump",48
"137",87809,1424,"Siena/NYT",206208,661,-1.5,"Live Phone",88,2024-08-14,2024-08-09,"Georgia","Donald Trump",47
"138",88796,1528,"AtlasIntel",213385,1411,-0.8,"Online Ad",24,2024-10-17,2024-10-12,"Georgia","Donald Trump",50.1
"139",88503,217,"High Point University",211537,589,-0.4,"Online Panel",46,2024-09-29,2024-09-20,"North Carolina","Donald Trump",48
"140",87932,1597,"Beacon/Shaw",207248,1026,-1.1,"Live Phone/Text-to-Web",74,2024-08-26,2024-08-23,"Nevada","Donald Trump",48
"141",88374,1302,"Echelon Insights",210848,1005,-0.8,"Online Panel",43,2024-09-25,2024-09-23,"National","Donald Trump",44
"142",88170,568,"YouGov",209374,1090,-1.1,"Online Panel",55,2024-09-13,2024-09-11,"National","Donald Trump",46
"143",88712,1075,"Marquette Law School",212868,652,-1.1,"Probability Panel",35,2024-10-10,2024-10-01,"National","Donald Trump",50
"144",88339,329,"Muhlenberg",210621,450,-1,"Live Phone",50,2024-09-19,2024-09-16,"Pennsylvania","Donald Trump",48
"145",88267,290,"MassINC Polling Group",210290,800,-0.8,"Live Phone/Text-to-Web",54,2024-09-18,2024-09-12,"Pennsylvania","Donald Trump",46
"146",88019,1866,"CNN/SSRS",207695,789,-0.6,"Probability Panel",74,2024-08-29,2024-08-23,"Pennsylvania","Donald Trump",47
"147",88403,1597,"Beacon/Shaw",211021,775,-1.1,"Live Phone/Text-to-Web",46,2024-09-24,2024-09-20,"Pennsylvania","Donald Trump",49
"148",88366,1205,"Marist",210787,1507,-0.9,"Live Phone/Online Panel/Text-to-Web",47,2024-09-24,2024-09-19,"North Carolina","Donald Trump",48
"149",87780,1597,"Beacon/Shaw",205945,1105,-1.1,"Live Phone",88,2024-08-12,2024-08-09,"National","Donald Trump",50
